timestamp,ticker,asset,flow_usd_m
2024-01-11,IBIT,BTC,111.7
2024-01-11,FBTC,BTC,227.0
2024-01-11,BITB,BTC,237.9
2024-01-11,ARKB,BTC,65.3
2024-01-11,BTCO,BTC,17.4
2024-01-11,EZBC,BTC,50.1
2024-01-11,BRRR,BTC,29.4
2024-01-11,HODL,BTC,10.6
2024-01-11,BTCW,BTC,1.0
2024-01-11,GBTC,BTC,-95.1
2024-01-12,IBIT,BTC,386.0
2024-01-12,FBTC,BTC,195.3
2024-01-12,BITB,BTC,17.4
2024-01-12,ARKB,BTC,39.8
2024-01-12,BTCO,BTC,28.4
2024-01-12,EZBC,BTC,0.0
2024-01-12,BRRR,BTC,20.2
2024-01-12,HODL,BTC,0.0
2024-01-12,BTCW,BTC,0.0
2024-01-12,GBTC,BTC,-484.1
2024-01-16,IBIT,BTC,212.7
2024-01-16,FBTC,BTC,102.0
2024-01-16,BITB,BTC,50.2
2024-01-16,ARKB,BTC,122.3
2024-01-16,BTCO,BTC,31.9
2024-01-16,EZBC,BTC,0.0
2024-01-16,BRRR,BTC,15.3
2024-01-16,HODL,BTC,7.3
2024-01-16,BTCW,BTC,0.0
2024-01-16,GBTC,BTC,-594.4
2024-01-17,IBIT,BTC,371.4
2024-01-17,FBTC,BTC,358.1
2024-01-17,BITB,BTC,68.2
2024-01-17,ARKB,BTC,50.3
2024-01-17,BTCO,BTC,57.6
2024-01-17,EZBC,BTC,1.2
2024-01-17,BRRR,BTC,1.2
2024-01-17,HODL,BTC,4.8
2024-01-17,BTCW,BTC,1.6
2024-01-17,GBTC,BTC,-460.6
2024-01-18,IBIT,BTC,145.5
2024-01-18,FBTC,BTC,177.9
2024-01-18,BITB,BTC,20.1
2024-01-18,ARKB,BTC,41.8
2024-01-18,BTCO,BTC,58.8
2024-01-18,EZBC,BTC,0.0
2024-01-18,BRRR,BTC,9.3
2024-01-18,HODL,BTC,2.3
2024-01-18,BTCW,BTC,0.0
2024-01-18,GBTC,BTC,-582.3
2024-01-19,IBIT,BTC,201.5
2024-01-19,FBTC,BTC,222.3
2024-01-19,BITB,BTC,56.7
2024-01-19,ARKB,BTC,62.6
2024-01-19,BTCO,BTC,63.4
2024-01-19,EZBC,BTC,0.0
2024-01-19,BRRR,BTC,10.4
2024-01-19,HODL,BTC,14.2
2024-01-19,BTCW,BTC,2.9
2024-01-19,GBTC,BTC,-590.4
2024-01-22,IBIT,BTC,260.6
2024-01-22,FBTC,BTC,158.7
2024-01-22,BITB,BTC,41.6
2024-01-22,ARKB,BTC,65.0
2024-01-22,BTCO,BTC,5.6
2024-01-22,EZBC,BTC,4.7
2024-01-22,BRRR,BTC,9.7
2024-01-22,HODL,BTC,6.8
2024-01-22,BTCW,BTC,0.4
2024-01-22,GBTC,BTC,-640.5
2024-01-23,IBIT,BTC,160.1
2024-01-23,FBTC,BTC,157.7
2024-01-23,BITB,BTC,26.3
2024-01-23,ARKB,BTC,61.8
2024-01-23,BTCO,BTC,0.0
2024-01-23,EZBC,BTC,1.1
2024-01-23,BRRR,BTC,0.0
2024-01-23,HODL,BTC,2.2
2024-01-23,BTCW,BTC,0.0
2024-01-23,GBTC,BTC,-515.3
2024-01-24,IBIT,BTC,66.2
2024-01-24,FBTC,BTC,125.7
2024-01-24,BITB,BTC,19.1
2024-01-24,ARKB,BTC,24.9
