timestamp,ticker,asset,flow_usd_m
2024-07-23,ETHA,ETH,266.5
2024-07-23,FETH,ETH,71.3
2024-07-23,ETHW,ETH,204.0
2024-07-23,TETH,ETH,7.5
2024-07-23,ETHV,ETH,7.6
2024-07-23,QETH,ETH,5.5
2024-07-23,EZET,ETH,13.2
2024-07-23,ETHE,ETH,-484.1
2024-07-23,ETH,ETH,15.1
2024-07-24,ETHA,ETH,17.4
2024-07-24,FETH,ETH,74.5
2024-07-24,ETHW,ETH,29.6
2024-07-24,TETH,ETH,0.0
2024-07-24,ETHV,ETH,19.8
2024-07-24,QETH,ETH,2.5
2024-07-24,EZET,ETH,3.9
2024-07-24,ETHE,ETH,-326.9
2024-07-24,ETH,ETH,45.9
2024-07-25,ETHA,ETH,70.9
2024-07-25,FETH,ETH,34.3
2024-07-25,ETHW,ETH,16.3
2024-07-25,TETH,ETH,0.0
2024-07-25,ETHV,ETH,8.0
2024-07-25,QETH,ETH,6.2
2024-07-25,EZET,ETH,0.0
2024-07-25,ETHE,ETH,-346.2
2024-07-25,ETH,ETH,58.1
2024-07-26,ETHA,ETH,87.2
2024-07-26,FETH,ETH,39.3
2024-07-26,ETHW,ETH,16.0
2024-07-26,TETH,ETH,0.0
2024-07-26,ETHV,ETH,0.0
2024-07-26,QETH,ETH,0.0
2024-07-26,EZET,ETH,6.2
2024-07-26,ETHE,ETH,-356.3
2024-07-26,ETH,ETH,44.9
2024-07-29,ETHA,ETH,58.2
2024-07-29,FETH,ETH,24.8
2024-07-29,ETHW,ETH,10.4
2024-07-29,TETH,ETH,0.0
2024-07-29,ETHV,ETH,10.9
2024-07-29,QETH,ETH,0.0
2024-07-29,EZET,ETH,2.5
2024-07-29,ETHE,ETH,-210.0
2024-07-29,ETH,ETH,4.9
2024-07-30,ETHA,ETH,118.0
2024-07-30,FETH,ETH,16.4
2024-07-30,ETHW,ETH,3.5
2024-07-30,TETH,ETH,0.0
2024-07-30,ETHV,ETH,0.0
2024-07-30,QETH,ETH,0.0
2024-07-30,EZET,ETH,3.7
2024-07-30,ETHE,ETH,-120.3
2024-07-30,ETH,ETH,12.4
2024-07-31,ETHA,ETH,5.0
2024-07-31,FETH,ETH,18.8
2024-07-31,ETHW,ETH,4.7
2024-07-31,TETH,ETH,3.3
2024-07-31,ETHV,ETH,4.8
2024-07-31,QETH,ETH,0.0
2024-07-31,EZET,ETH,0.0
2024-07-31,ETHE,ETH,-133.3
2024-07-31,ETH,ETH,19.5
2024-08-01,ETHA,ETH,89.6
2024-08-01,FETH,ETH,11.7
2024-08-01,ETHW,ETH,3.4
2024-08-01,TETH,ETH,0.0
2024-08-01,ETHV,ETH,0.0
2024-08-01,QETH,ETH,0.0
2024-08-01,EZET,ETH,0.0
2024-08-01,ETHE,ETH,-78.0
2024-08-01,ETH,ETH,0.0
2024-08-02,ETHA,ETH,0.0
2024-08-02,FETH,ETH,6.0
2024-08-02,ETHW,ETH,0.0
2024-08-02,TETH,ETH,0.0
2024-08-02,ETHV,ETH,0.0
2024-08-02,QETH,ETH,0.0
2024-08-02,EZET,ETH,1.1
2024-08-02,ETHE,ETH,-61.4
2024-08-02,ETH,ETH,0.0
2024-08-05,ETHA,ETH,47.1
2024-08-05,FETH,ETH,16.2
2024-08-05,ETHW,ETH,7.2
2024-08-05,TETH,ETH,0.0
2024-08-05,ETHV,ETH,16.6
2024-08-05,QETH,ETH,0.0
2024-08-05,EZET,ETH,0.9
2024-08-05,ETHE,ETH,-46.8
2024-08-05,ETH,ETH,7.6
2024-08-06,ETHA,ETH,109.9
2024-08-06,FETH,ETH,22.5
2024-08-06,ETHW,ETH,0.0
2024-08-06,TETH,ETH,0.0
2024-08-06,ETHV,ETH,0.0
2024-08-06,QETH,ETH,0.0
2024-08-06,EZET,ETH,1.0
2024-08-06,ETHE,ETH,-39.7
2024-08-06,ETH,ETH,4.7
2024-08-07,ETHA,ETH,0.0
2024-08-07,FETH,ETH,4.7
2024-08-07,ETHW,ETH,1.7
2024-08-07,TETH,ETH,0.0
2024-08-07,ETHV,ETH,0.0
2024-08-07,QETH,ETH,0.0
2024-08-07,EZET,ETH,1.8
2024-08-07,ETHE,ETH,-31.9
2024-08-07,ETH,ETH,0.0
2024-08-08,ETHA,ETH,11.7
2024-08-08,FETH,ETH,-2.6
2024-08-08,ETHW,ETH,2.8
2024-08-08,TETH,ETH,0.0
2024-08-08,ETHV,ETH,0.0
2024-08-08,QETH,ETH,0.0
2024-08-08,EZET,ETH,0.0
2024-08-08,ETHE,ETH,-19.8
2024-08-08,ETH,ETH,5.0
2024-08-09,ETHA,ETH,19.6
2024-08-09,FETH,ETH,3.9
2024-08-09,ETHW,ETH,0.0
2024-08-09,TETH,ETH,0.0
2024-08-09,ETHV,ETH,0.0
2024-08-09,QETH,ETH,0.0
2024-08-09,EZET,ETH,0.0
2024-08-09,ETHE,ETH,-41.7
2024-08-09,ETH,ETH,2.4
2024-08-12,ETHA,ETH,0.0
2024-08-12,FETH,ETH,4.0
2024-08-12,ETHW,ETH,2.9
2024-08-12,TETH,ETH,0.0
2024-08-12,ETHV,ETH,-2.9
2024-08-12,QETH,ETH,0.0
2024-08-12,EZET,ETH,1.0
2024-08-12,ETHE,ETH,0.0
2024-08-12,ETH,ETH,0.0
2024-08-13,ETHA,ETH,49.1
2024-08-13,FETH,ETH,5.4
2024-08-13,ETHW,ETH,0.0
2024-08-13,TETH,ETH,0.0
2024-08-13,ETHV,ETH,0.0
2024-08-13,QETH,ETH,0.8
2024-08-13,EZET,ETH,0.0
2024-08-13,ETHE,ETH,-31.0
2024-08-13,ETH,ETH,0.0
2024-08-14,ETHA,ETH,16.1
2024-08-14,FETH,ETH,6.6
2024-08-14,ETHW,ETH,2.7
2024-08-14,TETH,ETH,0.0
2024-08-14,ETHV,ETH,0.0
2024-08-14,QETH,ETH,0.0
2024-08-14,EZET,ETH,0.0
2024-08-14,ETHE,ETH,-16.9
2024-08-14,ETH,ETH,2.3
2024-08-15,ETHA,ETH,0.8
2024-08-15,FETH,ETH,2.5
2024-08-15,ETHW,ETH,0.0
2024-08-15,TETH,ETH,0.0
2024-08-15,ETHV,ETH,0.0
2024-08-15,QETH,ETH,0.0
2024-08-15,EZET,ETH,0.0
2024-08-15,ETHE,ETH,-42.5
2024-08-15,ETH,ETH,0.0
2024-08-16,ETHA,ETH,10.3
2024-08-16,FETH,ETH,7.2
2024-08-16,ETHW,ETH,0.0
2024-08-16,TETH,ETH,0.0
2024-08-16,ETHV,ETH,-4.8
2024-08-16,QETH,ETH,0.0
2024-08-16,EZET,ETH,0.0
2024-08-16,ETHE,ETH,-27.7
2024-08-16,ETH,ETH,0.0
2024-08-19,ETHA,ETH,0.0
2024-08-19,FETH,ETH,0.0
2024-08-19,ETHW,ETH,1.9
2024-08-19,TETH,ETH,0.0
2024-08-19,ETHV,ETH,0.0
2024-08-19,QETH,ETH,0.0
2024-08-19,EZET,ETH,0.0
2024-08-19,ETHE,ETH,-20.3
2024-08-19,ETH,ETH,4.9
2024-08-20,ETHA,ETH,26.8
2024-08-20,FETH,ETH,0.0
2024-08-20,ETHW,ETH,3.7
2024-08-20,TETH,ETH,0.0
2024-08-20,ETHV,ETH,0.0
2024-08-20,QETH,ETH,0.0
2024-08-20,EZET,ETH,0.0
2024-08-20,ETHE,ETH,-37.0
2024-08-20,ETH,ETH,0.0
2024-08-21,ETHA,ETH,0.0
2024-08-21,FETH,ETH,7.9
2024-08-21,ETHW,ETH,0.0
2024-08-21,TETH,ETH,0.0
2024-08-21,ETHV,ETH,0.0
2024-08-21,QETH,ETH,0.0
2024-08-21,EZET,ETH,1.0
2024-08-21,ETHE,ETH,-31.1
2024-08-21,ETH,ETH,4.2
2024-08-22,ETHA,ETH,0.0
2024-08-22,FETH,ETH,14.3
2024-08-22,ETHW,ETH,0.0
2024-08-22,TETH,ETH,0.0
2024-08-22,ETHV,ETH,1.0
2024-08-22,QETH,ETH,0.0
2024-08-22,EZET,ETH,0.0
2024-08-22,ETHE,ETH,-19.8
2024-08-22,ETH,ETH,3.7
2024-08-23,ETHA,ETH,0.0
2024-08-23,FETH,ETH,0.7
2024-08-23,ETHW,ETH,1.4
2024-08-23,TETH,ETH,0.0
2024-08-23,ETHV,ETH,2.0
2024-08-23,QETH,ETH,0.0
2024-08-23,EZET,ETH,0.0
2024-08-23,ETHE,ETH,-9.8
2024-08-23,ETH,ETH,0.0
