Symbol,Market Cap (M),Sector,Use Case,Sub Use Case,Tech Stack,Sub Tech Stack,Tertiary Tech Stack,Ecosystem,Region,Custodies,CoinGecko ID,CoinGecko Symbol,CoinGecko Name,CoinMarketCap ID,CoinMarketCap Symbol,CoinMarketCap Name,CoinMarketCap Slug,CoinMetrics ID,CoinMetrics Name
BTC,1362802962054,Currency Networks,Store of Value,,Blockchain Network,Layer 1,PoW,Bitcoin,,Copper; Coinbase Custody; Gemini Custody; BitGo Custody; Zodia; Anchorage Digital,bitcoin,btc,Bitcoin,1,BTC,Bitcoin,bitcoin,btc,Bitcoin
ETH,237555739960,General Purpose Blockchain Networks,Smart Contract Platforms,,Blockchain Network,Layer 1,PoS,Ethereum,,Copper; BitGo Custody; Gemini Custody; Coinbase Custody; Zodia; Anchorage Digital,ethereum,eth,Ethereum,1027,ETH,Ethereum,ethereum,eth,Ethereum
XRP,86769921840,Currency Networks,Settlement Network,,Blockchain Network,Layer 1,Hybrid / Other (Layer 1),,US,Anchorage Digital; Coinbase Custody; BitGo Custody; Zodia; Copper,ripple,xrp,XRP,52,XRP,XRP,xrp,xrp,XRP
BNB,83574510475,Centralized Finance,Exchange,,Blockchain Network,Layer 1,PoS,BNB,,Anchorage Digital; BitGo Custody; Coinbase Custody; Zodia,binancecoin,bnb,BNB,1839,BNB,BNB,bnb,bnb,BNB
SOL,47856969448,General Purpose Blockchain Networks,Smart Contract Platforms,,Blockchain Network,Layer 1,PoS,Solana,US,BitGo Custody; Gemini Custody; Coinbase Custody; Anchorage Digital; Copper; Zodia,solana,sol,Solana,5426,SOL,Solana,solana,sol,Solana
TRX,26838114466,General Purpose Blockchain Networks,Smart Contract Platforms,,Blockchain Network,Layer 1,PoS,Tron,,BitGo Custody; Zodia; Copper,tron,trx,TRON,1958,TRX,TRON,tron,trx,TRON
DOGE,16741567746,Meme,,,Blockchain Network,Layer 1,PoW,,US,Copper; Anchorage Digital; Coinbase Custody; Gemini Custody; BitGo Custody,dogecoin,doge,Dogecoin,74,DOGE,Dogecoin,dogecoin,doge,Dogecoin
ADA,10090077141,General Purpose Blockchain Networks,Smart Contract Platforms,,Blockchain Network,Layer 1,PoS,,US,Copper; Coinbase Custody; BitGo Custody; Zodia,cardano,ada,Cardano,2010,ADA,Cardano,cardano,ada,Cardano
LEO,7901548272,Centralized Finance,Exchange,,Application,,,,,BitGo Custody,leo-token,leo,LEO Token,3957,LEO,UNUS SED LEO,unus-sed-leo,leo,UNUS SED LEO
HYPE,7302111946,Decentralized Finance,Trading Platforms,Diversified/Other Trading Platforms,Blockchain Network,Layer 1,PoS,,,BitGo Custody; Anchorage Digital,hyperliquid,hype,Hyperliquid,32196,HYPE,Hyperliquid,hyperliquid,hype,Hyperliquid
LINK,6154395477,Decentralized Finance,DeFi Infrastructure & Data,Oracles,Application,,,Ethereum,US,Coinbase Custody; Gemini Custody; BitGo Custody; Anchorage Digital; Zodia,chainlink,link,Chainlink,1975,LINK,Chainlink,chainlink,link,Chainlink
CC,5978426649,General Purpose Blockchain Networks,Settlement Network,,Blockchain Network,Layer 1,Hybrid / Other (Layer 1),,,Zodia; Copper; BitGo Custody,canton-network,cc,Canton,37263,CC,Canton,canton-network,cc,Canton Coin
XLM,5310166696,Currency Networks,Settlement Network,,Blockchain Network,Layer 1,Hybrid / Other (Layer 1),,US,Copper; Coinbase Custody; Anchorage Digital; BitGo Custody; Zodia,stellar,xlm,Stellar,512,XLM,Stellar,stellar,xlm,Stellar
WBT,4419691648,Centralized Finance,Exchange,,Application,,,,,,whitebit,wbt,WhiteBIT Coin,21353,WBT,WhiteBIT Coin,whitebit-token,wbt,WhiteBIT Token
HBAR,4265907400,General Purpose Blockchain Networks,Smart Contract Platforms,,Blockchain Network,Layer 1,PoS,,US,Anchorage Digital; Copper; Coinbase Custody; BitGo Custody,hedera-hashgraph,hbar,Hedera,4642,HBAR,Hedera,hedera,hbar,Hedera
LTC,4149126296,Currency Networks,Settlement Network,,Blockchain Network,Layer 1,PoW,,US,Copper; Coinbase Custody; Zodia; BitGo Custody; Gemini Custody; Anchorage Digital,litecoin,ltc,Litecoin,2,LTC,Litecoin,litecoin,ltc,Litecoin
AVAX,4003925390,General Purpose Blockchain Networks,Smart Contract Platforms,,Blockchain Network,Layer 1,PoS,Avalanche,US,Anchorage Digital; Coinbase Custody; BitGo Custody; Zodia; Copper,avalanche-2,avax,Avalanche,5805,AVAX,Avalanche,avalanche,avax,Avalanche
SHIB,3719370043,Meme,,,Blockchain Network,Sidechain,Ethereum Sidechain,Ethereum,,Gemini Custody; BitGo Custody; Anchorage Digital; Coinbase Custody,shiba-inu,shib,Shiba Inu,5994,SHIB,Shiba Inu,shiba-inu,shib,Shiba Inu
SUI,3657702470,General Purpose Blockchain Networks,Smart Contract Platforms,,Blockchain Network,Layer 1,PoS,Sui,US,BitGo Custody; Coinbase Custody; Anchorage Digital; Copper,sui,sui,Sui,20947,SUI,Sui,sui,sui,Sui
TON,3360968122,General Purpose Blockchain Networks,Smart Contract Platforms,,Blockchain Network,Layer 1,,TON,,Copper; BitGo Custody; Zodia,the-open-network,ton,Toncoin,11419,TON,Toncoin,toncoin,ton,Toncoin
CRO,3211175793,Centralized Finance,Exchange,,Blockchain Network,Layer 1,PoS,Cosmos,,Anchorage Digital; Coinbase Custody; BitGo Custody; Zodia,crypto-com-chain,cro,Cronos,3635,CRO,Cronos,cronos,cro,Cronos
WLFI,3136531965,Decentralized Finance,Asset Origination and Issuance,Stablecoin System,Application,,,,US,BitGo Custody,world-liberty-financial,wlfi,World Liberty Financial,33251,WLFI,World Liberty Financial,world-liberty-financial-wlfi,wlfi,World Liberty Financial
DOT,2180885269,General Purpose Blockchain Networks,Interchain Connectivity Platforms,,Blockchain Network,Layer 0,,,,Copper; Zodia; BitGo Custody; Coinbase Custody,polkadot,dot,Polkadot,6636,DOT,Polkadot,polkadot-new,dot,Polkadot
UNI,2170871674,Decentralized Finance,Trading Platforms,Spot / Swaps,Application,,,Ethereum,US,Anchorage Digital; Coinbase Custody; Gemini Custody; BitGo Custody; Zodia,uniswap,uni,Uniswap,7083,UNI,Uniswap,uniswap,uni,Uniswap
MNT,2023671168,General Purpose Blockchain Networks,Smart Contract Platforms,,Blockchain Network,Layer 2,Optimistic Rollup,,,BitGo Custody; Anchorage Digital,mantle,mnt,Mantle,27075,MNT,Mantle,mantle,mnt,Mantle
AAVE,1904379858,Decentralized Finance,Lending & Borrowing,Crypto Based Lending Platforms,Application,,,Ethereum,,BitGo Custody; Zodia; Anchorage Digital; Coinbase Custody; Gemini Custody,aave,aave,Aave,7278,AAVE,Aave,aave,aave,Aave
PEPE,1766147768,Meme,,,Application,,,Ethereum,,Gemini Custody; Anchorage Digital; Coinbase Custody; BitGo Custody,pepe,pepe,Pepe,24478,PEPE,Pepe,pepe,pepe,Pepe
ASTER,1751510799,Decentralized Finance,Trading Platforms,Diversified/Other Trading Platforms,Application,,,BNB,,Anchorage Digital; Copper; BitGo Custody,aster-2,aster,Aster,36341,ASTER,Aster,aster,aster,Aster
TAO,1706196408,Decentralized Physical Infrastructure,Computation,Artificial Intelligence (DePIN),Blockchain Network,Layer 1,PoS,,,BitGo Custody; Copper,bittensor,tao,Bittensor,22974,TAO,Bittensor,bittensor,tao_bittensor,Bittensor
OKB,1675417346,Centralized Finance,Exchange,,Blockchain Network,Layer 2,ZK Rollup,,,Zodia; BitGo Custody,okb,okb,OKB,3897,OKB,OKB,okb,okb,OKB
BGB,1650448835,Centralized Finance,Exchange,,Application,,,,,Anchorage Digital; BitGo Custody,bitget-token,bgb,Bitget Token,11092,BGB,Bitget Token,bitget-token-new,bgb,Bitget Token
HTX,1622520702,Centralized Finance,Exchange,,Application,,,,,,htx-dao,htx,HTX DAO,29160,HTX,HTX,htx,htx,HTX
